"island","area","Alien_richness","Native_richness"
"Alicudi",5.06,1,1
"Asinara",51.94,8,3
"Basiluzzo",0.29,0,2
"Budelli",1.83,0,2
"Capraia",19.44,4,2
"Caprara",0.54,1,1
"Caprera",16.01,4,2
"Capri",10.46,4,4
"Cavalli",0.03,2,0
"Elba",224.43,12,4
"Favignana",20.55,2,3
"Figarolo",0.22,1,0
"Filicudi",9.24,1,2
"Galera",0.01,1,0
"Gerone",0.08,1,0
"Giannutri",2.43,2,4
"Giglio",21.83,5,4
"Gorgona",2.41,2,3
"Ischia",46.73,3,4
"Isola Barca Sconcia",0.01,1,6
"Isola Bella",0.01,1,27
"Isola Gabbia",0.01,0,1
"Isola Grande",0.17,1,19
"Isola Grande",6.01,0,5
"Isola Manna",0.04,2,21
"Isola Ognina",0.02,1,24
"Isola Pennata",0.04,1,0
"Isola Piana di Capo Caccia",0.13,1,6
"Isola Piana di San Pietro",0.27,0,2
"Isola Piana di Stintino",1.26,0,1
"Isola Piana di Tavolara",0.14,3,22
"Isola Piana, off Asinara (???)",0.4,2,0
"Isola Ruja",0.03,2,20
"Isola Sud degli Italiani",0.01,0,3
"Isola centrale de li Nibani",0.17,2,21
"Isola de la Pelosa",0.02,3,22
"Isola dei Cavoli",0.47,2,0
"Isola dei Conigli",0.03,1,0
"Isola dei Topi",0.01,1,6
"Isola del Toro",0.1,2,0
"Isola della Malva",0.07,0,1
"Isola delle Bisce",0.32,2,20
"Isola delle Femmine",0.17,1,0
"Isola delle Rocche",0.04,2,21
"Isola di Abbatoggia",0.02,1,0
"Isola di Cala Vinagra",0.01,0,3
"Isola di Campi",0.02,1,28
"Isola di Patron Fiaso",0.03,2,21
"Isola di su Giudeu",0.01,0,3
"Isola la Vacca",0.12,2,0
"Isolotto Cerboli",0.1,1,0
"Isolotto Rosso (Reuloino) ??",0.01,1,0
"Isolotto di Porto Puddu",0.05,2,21
"Isuledda",0.01,3,21
"La Chianca",0.01,3,0
"La Maddalena",20.94,3,3
"La Peraiola",0.01,1,2
"Lachea",0.02,1,27
"Lampedusa",20.29,3,1
"Levanzo",6.05,1,3
"Linosa",5.6,4,1
"Lipari",37.24,4,4
"Mal di Ventre",0.97,3,0
"Marettimo Island",12.41,7,3
"Molara",3.61,1,3
"Molarotto",0.03,1,0
"Montecristo",10.55,0,3
"Nisida",0.3,1,28
"Palmaria",1.66,1,4
"Palmarola",1.3,0,3
"Panarea",3.38,1,3
"Pantelleria",83.92,4,3
"Pianosa",0.12,1,1
"Pianosa",10.61,6,1
"Ponza",7.62,3,3
"Procida",4.07,1,4
"Proratora",0.05,3,21
"Razzoli",1.84,2,2
"Salina",25.89,1,3
"San Domino",2.2,0,3
"San Nicola",0.5,1,3
"San Pietro",1.24,0,1
"San Pietro",51.53,2,2
"Sant'Andrea",0.54,1,3
"Sant'Antioco",111.39,5,21
"Sant'Eufemia",0.03,1,27
"Sant'Isidoro",0.01,1,18
"Santa Maria",0.16,0,4
"Sardinia",23799.31,8,26
"Scoglio San Martino",0.02,1,28
"Scoglio di Portonuovo",0.02,1,27
"Serpentara",0.35,1,2
"Sicily",25456.03,10,31
"Spargi",4.38,3,3
"Spargiotto",0.13,1,0
"Stromboli",12.61,2,2
"Tavolara",6.38,2,2
"Ustica",8.14,3,2
"Ventotene",1.36,1,4
"Vivara",0.35,3,4
"Vulcano",21,1,3
"Zannone",1.08,1,3
"isola di Santa Maria",2.37,2,0
"isola di Santo Stefano",3.22,1,2
